id,action_time,object_id,object_repr,action_flag,change_message,content_type_id,user_id
1,2017-05-25 05:30:45.208337,2,Art-rock,1,"[{""added"": {}}]",8,1
2,2017-05-25 05:31:16.069815,5,Octopus,2,[],7,1
3,2017-05-25 05:32:08.989077,3,Hip-hop,1,"[{""added"": {}}]",8,1
4,2017-05-25 05:32:24.678430,4,Jazz-rock,1,"[{""added"": {}}]",8,1
5,2017-05-25 05:32:31.923928,5,Fusion,1,"[{""added"": {}}]",8,1
6,2017-05-25 05:32:47.781147,6,Post-hardcore,1,"[{""added"": {}}]",8,1
7,2017-05-25 05:32:53.368647,7,Metal,1,"[{""added"": {}}]",8,1
8,2017-05-25 05:32:56.813784,8,Sludge,1,"[{""added"": {}}]",8,1
9,2017-05-25 05:34:32.232693,3,At the Drive-In,1,"[{""added"": {}}]",10,1
10,2017-05-25 05:44:27.716266,4,Thundercat,1,"[{""added"": {}}]",10,1
11,2017-05-25 05:44:56.258520,5,Suff Daddy,1,"[{""added"": {}}]",10,1
12,2017-05-25 05:46:05.542885,6,In a Glass House,1,"[{""added"": {}}]",7,1
13,2017-05-25 05:46:58.675685,7,The Power and the Glory,1,"[{""added"": {}}]",7,1
14,2017-05-25 05:48:08.515244,6,Jamiroquai,1,"[{""added"": {}}]",10,1
15,2017-05-25 05:48:56.408120,9,Funk,1,"[{""added"": {}}]",8,1
16,2017-05-25 05:49:06.625644,10,Soul,1,"[{""added"": {}}]",8,1
17,2017-05-25 05:49:13.651691,8,Live in Verona,1,"[{""added"": {}}]",7,1
18,2017-05-25 05:50:10.480677,7,Allan Holdsworth,1,"[{""added"": {}}]",10,1
19,2017-05-25 05:50:27.906584,8,Mahavishnu Orchestra,1,"[{""added"": {}}]",10,1
20,2017-05-25 05:50:44.344773,9,Claypool Lennon Delirium,1,"[{""added"": {}}]",10,1
21,2017-05-25 05:50:56.508523,10,Omar Rodriguez-Lopez,1,"[{""added"": {}}]",10,1
22,2017-05-25 05:51:02.953690,11,Anywhere,1,"[{""added"": {}}]",10,1
23,2017-05-25 05:51:57.341300,12,Miguel Atwood-Ferguson,1,"[{""added"": {}}]",10,1
24,2017-05-25 05:52:05.843679,13,Arthur Verocai,1,"[{""added"": {}}]",10,1
25,2017-05-25 05:53:53.676640,14,The Fall of Troy,1,"[{""added"": {}}]",10,1
26,2017-05-25 05:54:17.466872,15,Emerson Lake and Palmer,1,"[{""added"": {}}]",10,1
27,2017-05-25 05:54:28.442348,16,Yes,1,"[{""added"": {}}]",10,1
28,2017-05-25 05:54:40.418540,17,King Crimson,1,"[{""added"": {}}]",10,1
29,2017-05-25 06:00:41.587521,9,Close to the Edge,1,"[{""added"": {}}]",7,1
30,2017-05-25 06:03:02.340915,18,Wigwam,1,"[{""added"": {}}]",10,1
31,2017-05-25 06:04:14.496241,19,John McLaughlin & Carlos Santana,1,"[{""added"": {}}]",10,1
32,2017-05-25 06:04:21.288021,20,Billy Cobham,1,"[{""added"": {}}]",10,1
33,2017-05-25 07:08:04.128168,21,asdf,1,"[{""added"": {}}]",10,1
34,2017-05-25 07:08:16.840958,21,asdf,3,"",10,1
35,2017-05-26 05:14:04.387703,21,Deftones,1,"[{""added"": {}}]",10,1
36,2017-05-26 05:14:24.763647,22,Antemasque,1,"[{""added"": {}}]",10,1
37,2017-05-26 05:14:36.255572,23,Chassol,1,"[{""added"": {}}]",10,1
38,2017-05-26 05:15:00.241943,24,Touché Amore,1,"[{""added"": {}}]",10,1
39,2017-05-26 05:15:20.861056,25,Deantoni Parks,1,"[{""added"": {}}]",10,1
40,2017-05-26 05:16:00.735950,26,J.A.R.,1,"[{""added"": {}}]",10,1
41,2017-05-26 05:16:38.636665,19,Carlos Santana & Mahavishnu John McLaughlin,2,"[{""changed"": {""fields"": [""name""]}}]",10,1
42,2017-05-26 05:17:09.967758,27,Mouse on the Keys,1,"[{""added"": {}}]",10,1
43,2017-05-26 05:17:37.410007,28,Weather Report,1,"[{""added"": {}}]",10,1
44,2017-05-26 05:17:56.146620,29,La Dispute,1,"[{""added"": {}}]",10,1
45,2017-05-26 05:18:05.489698,30,Chicago,1,"[{""added"": {}}]",10,1
46,2017-05-26 05:18:30.584674,31,Bosnian Rainbows,1,"[{""added"": {}}]",10,1
47,2017-05-26 05:19:35.996156,32,Linkin Park,1,"[{""added"": {}}]",10,1
48,2017-05-26 05:19:58.225017,33,Fat Boys,1,"[{""added"": {}}]",10,1
49,2017-05-26 05:20:10.913699,34,Ekseption,1,"[{""added"": {}}]",10,1
50,2017-05-26 05:20:27.083874,35,Mastodon,1,"[{""added"": {}}]",10,1
51,2017-05-26 05:20:45.311455,36,Museo Rosenbach,1,"[{""added"": {}}]",10,1
52,2017-05-26 05:21:57.754104,37,Il Balletto Di Bronzo,1,"[{""added"": {}}]",10,1
53,2017-05-26 05:22:28.403128,38,Void of Sleep,1,"[{""added"": {}}]",10,1
54,2017-05-26 05:22:40.812589,39,Death Grips,1,"[{""added"": {}}]",10,1
55,2017-05-26 05:23:16.762459,40,Robby Mon,1,"[{""added"": {}}]",10,1
56,2017-05-26 05:23:52.023022,40,Robby Moncrieff,2,"[{""changed"": {""fields"": [""name""]}}]",10,1
57,2017-05-26 05:24:04.712882,41,Fešáci,1,"[{""added"": {}}]",10,1
58,2017-05-26 05:24:17.289650,42,Gong,1,"[{""added"": {}}]",10,1
59,2017-05-26 05:26:14.346089,11,Jazz,1,"[{""added"": {}}]",8,1
60,2017-05-26 05:27:18.940464,10,Drunk,1,"[{""added"": {}}]",7,1
61,2017-05-26 05:29:04.037837,10,Drunk,2,[],7,1
62,2017-05-26 05:29:56.223548,12,Electro,1,"[{""added"": {}}]",8,1
63,2017-05-26 05:30:56.196745,11,Technoself,1,"[{""added"": {}}]",7,1
64,2017-05-26 05:33:43.877538,13,Rock,1,"[{""added"": {}}]",8,1
65,2017-05-26 05:33:50.630870,12,Sea Between Brightness and Me,1,"[{""added"": {}}]",7,1
66,2017-05-26 05:34:28.912911,13,White Pony,1,"[{""added"": {}}]",7,1
67,2017-05-26 05:36:41.205901,14,In the Court of the Crimson King,1,"[{""added"": {}}]",7,1
68,2017-05-26 05:37:24.748225,15,Antemasque,1,"[{""added"": {}}]",7,1
69,2017-05-26 05:38:01.979814,14,Alternative,1,"[{""added"": {}}]",8,1
70,2017-05-26 05:39:00.872015,16,Big Sun,1,"[{""added"": {}}]",7,1
71,2017-05-26 05:39:37.391118,15,Antemasque,2,"[{""changed"": {""fields"": [""release""]}}]",7,1
72,2017-05-26 05:40:52.344812,17,Interview,1,"[{""added"": {}}]",7,1
73,2017-05-26 05:42:51.598527,15,Rap,1,"[{""added"": {}}]",8,1
74,2017-05-26 05:42:56.963895,18,Dlouhohrající Děcka,1,"[{""added"": {}}]",7,1
75,2017-05-26 05:43:43.341835,19,Between Nothingness and Future,1,"[{""added"": {}}]",7,1
76,2017-05-26 05:44:07.768643,19,Between Nothingness and Eternity,2,"[{""changed"": {""fields"": [""name""]}}]",7,1
77,2017-05-26 05:44:29.889833,19,Between Nothingness and Eternity,2,"[{""changed"": {""fields"": [""note""]}}]",7,1
78,2017-05-26 05:45:31.721267,20,Love Devotion Surrender,1,"[{""added"": {}}]",7,1
79,2017-05-26 05:46:30.746980,21,OK#1,1,"[{""added"": {}}]",7,1
80,2017-05-26 05:46:52.307710,22,OK#2,1,"[{""added"": {}}]",7,1
81,2017-05-26 05:47:35.158667,23,In the Unlikely Event,1,"[{""added"": {}}]",7,1
82,2017-05-26 05:48:29.308782,10,Drunk,2,[],7,1
83,2017-05-26 05:48:37.991202,11,Technoself,2,[],7,1
84,2017-05-26 05:49:03.822033,8,Live in Verona,2,"[{""changed"": {""fields"": [""owned""]}}]",7,1
85,2017-05-26 05:49:12.970398,9,Close to the Edge,2,"[{""changed"": {""fields"": [""owned""]}}]",7,1
86,2017-05-26 05:50:42.385725,24,The Inner Mounting Flame,1,"[{""added"": {}}]",7,1
87,2017-05-26 05:51:47.950606,25,The Gin Diaries,1,"[{""added"": {}}]",7,1
88,2017-05-26 05:52:38.683715,26,The Golden Age of Apocalypse,1,"[{""added"": {}}]",7,1
89,2017-05-26 05:54:16.502593,16,Brazil,1,"[{""added"": {}}]",8,1
90,2017-05-26 05:54:20.855660,27,Timeless,1,"[{""added"": {}}]",7,1
91,2017-05-26 05:54:58.606061,28,Heavy Weather,1,"[{""added"": {}}]",7,1
92,2017-05-26 05:57:49.335872,29,Monolith of Phobos,1,"[{""added"": {}}]",7,1
93,2017-05-26 05:58:34.967536,30,Absence Makes the Heart Grow Fungus,1,"[{""added"": {}}]",7,1
94,2017-05-26 05:59:27.525217,31,Octahedron,1,"[{""added"": {}}]",7,1
95,2017-05-26 06:00:42.121214,32,Noctourniquet,1,"[{""added"": {}}]",7,1
96,2017-05-26 06:01:55.882277,33,Bedlam in Goliath,1,"[{""added"": {}}]",7,1
97,2017-05-26 06:02:51.362209,34,Amputechture,1,"[{""added"": {}}]",7,1
98,2017-05-26 06:03:49.902816,35,Deloused in the Comatorium,1,"[{""added"": {}}]",7,1
99,2017-05-26 06:04:51.431261,36,Scabdates,1,"[{""added"": {}}]",7,1
100,2017-05-26 06:05:47.736637,37,Suite for Ma Dukes,1,"[{""added"": {}}]",7,1
101,2017-05-26 06:06:37.989134,38,Rooms of the House,1,"[{""added"": {}}]",7,1
102,2017-05-26 06:07:16.788789,39,Transit Authority,1,"[{""added"": {}}]",7,1
103,2017-05-26 06:08:07.342544,40,In/Casino/Out,1,"[{""added"": {}}]",7,1
104,2017-05-26 06:09:30.570166,41,Telesterion,1,"[{""added"": {}}]",7,1
105,2017-05-26 06:10:48.624268,42,Big and Beautiful,1,"[{""added"": {}}]",7,1
106,2017-05-26 06:11:26.092861,43,Tarkus,1,"[{""added"": {}}]",7,1
107,2017-05-26 06:11:55.276912,44,I.O.U.,1,"[{""added"": {}}]",7,1
108,2017-05-26 06:12:53.097932,45,Zarathustra,1,"[{""added"": {}}]",7,1
109,2017-05-26 06:13:27.109215,46,New World Order,1,"[{""added"": {}}]",7,1
110,2017-05-26 06:14:04.182686,47,Remission,1,"[{""added"": {}}]",7,1
111,2017-05-26 06:14:32.757626,48,Discipline,1,"[{""added"": {}}]",7,1
112,2017-05-26 06:16:39.520364,49,No Love Deep Web,1,"[{""added"": {}}]",7,1
113,2017-05-26 06:17:47.467850,50,Bottomless Pit,1,"[{""added"": {}}]",7,1
114,2017-05-26 06:19:13.588756,51,Who Do You Think You Aren't?,1,"[{""added"": {}}]",7,1
115,2017-05-26 06:20:16.385478,17,Cantenbury,1,"[{""added"": {}}]",8,1
116,2017-05-26 06:20:21.145107,52,Camembert Electronique,1,"[{""added"": {}}]",7,1
117,2017-05-26 06:21:28.098066,53,Vaya,1,"[{""added"": {}}]",7,1
118,2017-05-26 06:23:36.701837,27,Arthur Verocai,2,"[{""changed"": {""fields"": [""name""]}}]",7,1
119,2017-06-03 12:31:20.862212,34,Amputechture,2,"[{""changed"": {""fields"": [""image"", ""featured""]}}]",7,1
120,2017-06-03 12:31:37.367116,33,Bedlam in Goliath,2,"[{""changed"": {""fields"": [""image"", ""featured""]}}]",7,1
121,2017-06-03 12:31:55.258893,35,Deloused in the Comatorium,2,"[{""changed"": {""fields"": [""image"", ""featured""]}}]",7,1
122,2017-06-03 12:32:07.445063,10,Drunk,2,"[{""changed"": {""fields"": [""image"", ""featured""]}}]",7,1
123,2017-06-03 12:32:49.953165,1,Gentle Giant,2,"[{""changed"": {""fields"": [""image"", ""featured""]}}]",7,1
124,2017-06-03 12:33:04.476196,40,In/Casino/Out,2,"[{""changed"": {""fields"": [""image"", ""featured""]}}]",7,1
125,2017-06-03 12:33:19.251575,29,Monolith of Phobos,2,"[{""changed"": {""fields"": [""image"", ""featured""]}}]",7,1
126,2017-06-03 12:33:44.073425,49,No Love Deep Web,2,"[{""changed"": {""fields"": [""image"", ""featured""]}}]",7,1
127,2017-06-03 12:33:58.936060,32,Noctourniquet,2,"[{""changed"": {""fields"": [""image"", ""featured""]}}]",7,1
128,2017-06-03 12:34:20.460466,53,Vaya,2,"[{""changed"": {""fields"": [""image"", ""featured""]}}]",7,1
129,2017-06-03 14:26:11.374485,54,Free Hand,1,"[{""added"": {}}]",7,1
130,2017-06-03 14:45:10.440766,55,in•ter a•li•a,1,"[{""added"": {}}]",7,1
131,2017-06-04 08:24:30.649061,30,Absence Makes the Heart Grow Fungus,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
132,2017-06-04 08:25:38.843461,2,Acquiring the Taste,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
133,2017-06-04 08:26:17.047597,15,Antemasque,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
134,2017-06-04 08:26:22.675040,15,Antemasque,2,[],7,1
135,2017-06-04 08:27:34.914737,15,Antemasque,2,[],7,1
136,2017-06-04 08:27:43.863571,27,Arthur Verocai,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
137,2017-06-04 08:28:58.668225,19,Between Nothingness and Eternity,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
138,2017-06-04 08:32:53.071907,42,Big and Beautiful,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
139,2017-06-04 08:33:37.826811,16,Big Sun,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
140,2017-06-04 08:34:58.837081,50,Bottomless Pit,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
141,2017-06-04 08:35:58.838386,52,Camembert Electronique,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
142,2017-06-04 08:36:58.001179,9,Close to the Edge,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
143,2017-06-04 08:37:36.412983,48,Discipline,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
144,2017-06-04 08:38:58.096357,18,Dlouhohrající Děcka,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
145,2017-06-04 08:40:13.631815,28,Heavy Weather,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
146,2017-06-04 08:40:55.915309,44,I.O.U.,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
147,2017-06-04 08:46:49.724731,6,In a Glass House,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
148,2017-06-04 08:47:06.673870,12,Sea Between Brightness and Me,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
149,2017-06-04 08:47:24.287159,23,In the Unlikely Event,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
150,2017-06-04 08:47:41.603604,17,Interview,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
151,2017-06-04 08:47:55.557908,8,Live in Verona,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
152,2017-06-04 08:48:15.365538,20,Love Devotion Surrender,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
153,2017-06-04 08:48:56.203158,14,In the Court of the Crimson King,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
154,2017-06-04 08:49:40.943907,46,New World Order,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
155,2017-06-04 08:55:38.154109,31,Octahedron,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
156,2017-06-04 08:56:11.379357,5,Octopus,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
157,2017-06-04 08:56:44.482913,4,Octopus,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
158,2017-06-04 08:57:02.732018,22,OK#2,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
159,2017-06-04 08:57:21.012638,21,OK#1,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
160,2017-06-04 08:57:39.499464,47,Remission,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
161,2017-06-04 08:57:59.929043,38,Rooms of the House,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
162,2017-06-04 08:58:17.547583,36,Scabdates,2,"[{""changed"": {""fields"": [""image""]}}]",7,1
